# x_m, y_m, w_tr_right_m, w_tr_left_m
4.968319662164615735e+00, 1.255525450321770098e+00, 8.942571740387911250e-01, 7.691564409317538376e-01
5.003076377875011360e+00, 1.400985084849766471e+00, 8.889625920285557648e-01, 7.751490992517838796e-01
5.024107494653950567e+00, 1.550187682345796958e+00, 8.873493611730522979e-01, 7.766482706932551494e-01
5.030997812919851597e+00, 1.701031275153954248e+00, 8.865864969856271927e-01, 7.765910368837352085e-01
5.023798066021599062e+00, 1.851397308043630785e+00, 8.903772584656781675e-01, 7.720236326493374879e-01
5.002905953025301500e+00, 1.999292369441990402e+00, 8.946392515684709057e-01, 7.674070177788856473e-01
4.968957731229513897e+00, 2.142899839300576925e+00, 9.028771323054278763e-01, 7.589790118129883245e-01
4.922803792143879420e+00, 2.281154973183491474e+00, 9.104584562835273953e-01, 7.526836572029946826e-01
4.865334002377762701e+00, 2.413839673261695573e+00, 9.201438765272840214e-01, 7.459811897536883230e-01
4.797081781265103650e+00, 2.540402158847771652e+00, 9.293803318615003750e-01, 7.407207458521855026e-01
4.718600569828748093e+00, 2.660057850629621967e+00, 9.394011251375822269e-01, 7.404474281156112614e-01
4.630616189306659969e+00, 2.772006840980485887e+00, 9.490676955989987285e-01, 7.395065304061121392e-01
4.534027834797623946e+00, 2.875498109624243348e+00, 9.574575420970973250e-01, 7.441844106202530895e-01
4.429878053212866540e+00, 2.969919700348415237e+00, 9.642840330095439061e-01, 7.501195335564826427e-01
4.319279708313155552e+00, 3.054845676180383940e+00, 9.669954505619920981e-01, 7.548748820295416717e-01
4.203323347540742105e+00, 3.130052844889797292e+00, 9.663584410997146934e-01, 7.642209900607462858e-01
4.082968640553280792e+00, 3.195510818020522503e+00, 9.584335768100836761e-01, 7.701656697451577660e-01
3.958959856507196395e+00, 3.251335567031715001e+00, 9.460087868043669523e-01, 7.768214853187116464e-01
3.830926863552022610e+00, 3.298377789278742256e+00, 9.251766707704874859e-01, 7.828151181286904237e-01
3.697684658143315595e+00, 3.338011468828232964e+00, 9.000854088120139318e-01, 7.878453412526258415e-01
3.558815655747155304e+00, 3.370335492989872339e+00, 8.738432597380284550e-01, 7.930613128163765957e-01
3.414580128252278968e+00, 3.395217289775060099e+00, 8.480200367741228540e-01, 7.956474295423421328e-01
3.265676709731813343e+00, 3.412657844989698930e+00, 8.270274716907097812e-01, 7.974563706343062996e-01
3.112981000168400847e+00, 3.423157600284427282e+00, 8.124840222810462143e-01, 7.974272107344975158e-01
2.957303627971982873e+00, 3.428008714431642012e+00, 8.046597202215457489e-01, 7.957036772199524988e-01
2.799255970315628339e+00, 3.429342257741868849e+00, 8.026033391152451735e-01, 7.934963115211415285e-01
2.639258182793250640e+00, 3.429982641072666816e+00, 8.041039797310078896e-01, 7.921267837839727211e-01
2.477657281562347880e+00, 3.433139397849927388e+00, 8.062404469766091264e-01, 7.930361605939653113e-01
2.314895028880143979e+00, 3.441944762329133933e+00, 8.071429827911463795e-01, 7.974805644700015961e-01
2.151968250553724538e+00, 3.458869346605069950e+00, 8.060985845922904458e-01, 8.066002358642958558e-01
1.990930223175505276e+00, 3.485553388613018555e+00, 8.024986360970799426e-01, 8.218063993147475266e-01
1.834177243507826738e+00, 3.523106446023954064e+00, 7.956640322006054422e-01, 8.411920069682943257e-01
1.684243420103750388e+00, 3.571723393790080969e+00, 7.887022526061684413e-01, 8.654502816481930427e-01
1.543668749298142906e+00, 3.630707989002181613e+00, 7.801458937414015304e-01, 8.904673381667367327e-01
1.414771958884879721e+00, 3.698478372515135781e+00, 7.690246882418757535e-01, 9.141352852219259972e-01
1.299344246683882265e+00, 3.772773364117032902e+00, 7.614547481887495861e-01, 9.355844676783100500e-01
1.198304250592529652e+00, 3.851073543589637715e+00, 7.503632995833464658e-01, 9.517463826833256757e-01
1.111262053741490341e+00, 3.931264020263816050e+00, 7.450258778289644557e-01, 9.653516709155796072e-01
1.036525864570798650e+00, 4.012352555825439815e+00, 7.351677438446621027e-01, 9.772484312674498685e-01
9.702200729043082283e-01, 4.096160412261533601e+00, 7.333336680478624858e-01, 9.870360331296029743e-01
9.061479773196594589e-01, 4.188819089829635800e+00, 7.313569040660835574e-01, 9.955154681696091190e-01
8.405663906993617873e-01, 4.294969145823563039e+00, 7.370588785135840926e-01, 1.001222862739378883e+00
7.752059237037156603e-01, 4.415549320471078509e+00, 7.500859784208404601e-01, 1.002550886334737656e+00
7.126753227134264845e-01, 4.549242033342322244e+00, 7.649248744753022189e-01, 9.972823807173523125e-01
6.554345843552704665e-01, 4.693224429855871627e+00, 7.809582091980555862e-01, 9.825665958833877944e-01
6.046555772737400858e-01, 4.844152674457903984e+00, 7.986015694757897521e-01, 9.483832517782823102e-01
5.597641355129632235e-01, 4.998781630280486610e+00, 8.166256135507953262e-01, 8.999177569500920182e-01
5.185865878054733979e-01, 5.154245723643734678e+00, 8.351864327093140306e-01, 8.477994421222758703e-01
4.780943055419503707e-01, 5.308109397551672437e+00, 8.541490344345026298e-01, 8.032591993766713401e-01
4.352072209103490241e-01, 5.458237580508197517e+00, 8.717319494820662262e-01, 7.703125148742490103e-01
3.876131371371086543e-01, 5.603404942763252627e+00, 8.853696464767651930e-01, 7.483340160076219494e-01
3.342147895828127546e-01, 5.744140300645579345e+00, 8.941802804692927653e-01, 7.385440395996852869e-01
2.742691943349221950e-01, 5.880890308564382885e+00, 8.971671924266660936e-01, 7.361065952024751224e-01
2.069112587959455740e-01, 6.013176712140458235e+00, 8.973301837219912480e-01, 7.368057523270342690e-01
1.316915172356836472e-01, 6.140440545245180459e+00, 8.947447362194926868e-01, 7.420339289367913205e-01
4.835850180428732936e-02, 6.261904181360232968e+00, 8.893235510408097344e-01, 7.494459792337476722e-01
-4.312075617914862963e-02, 6.376675310386559659e+00, 8.844213151725501820e-01, 7.546899819724934844e-01
-1.425451777560210187e-01, 6.483816286882380098e+00, 8.776351410021391297e-01, 7.636813500999219961e-01
-2.494942757123884691e-01, 6.582405245685297501e+00, 8.728092422343844969e-01, 7.694257726400974828e-01
-3.633746251886452727e-01, 6.671552054659674269e+00, 8.686339276760028927e-01, 7.744571587617943287e-01
-4.834256836645535182e-01, 6.750451060217723231e+00, 8.662439817434620659e-01, 7.784799453563719940e-01
-6.087263028963674216e-01, 6.818455178448080467e+00, 8.664909546869434820e-01, 7.785597802168795489e-01
-7.382424763080923658e-01, 6.875111333164147354e+00, 8.674915931581856920e-01, 7.799536753593343530e-01
-8.708953556099416904e-01, 6.920154562257025077e+00, 8.716652682294212529e-01, 7.756490318312241339e-01
-1.005618300441277091e+00, 6.953511835854664369e+00, 8.763039456500953950e-01, 7.745014826136427111e-01
-1.141420647507453312e+00, 6.975283221821568347e+00, 8.827385649604208018e-01, 7.680826835474078296e-01
-1.277452578013100970e+00, 6.985669926273621044e+00, 8.899707310361089085e-01, 7.647679124838435705e-01
-1.413044015794575170e+00, 6.984900548273060394e+00, 8.966550493111040687e-01, 7.577477893454743763e-01
-1.547718817320882234e+00, 6.973161803885249199e+00, 9.044353817005059692e-01, 7.539323838367034680e-01
-1.681183645155451600e+00, 6.950534796270588345e+00, 9.091846967441128413e-01, 7.479867167007479001e-01
-1.813299758349291357e+00, 6.916941888125251126e+00, 9.141291531418441751e-01, 7.449265958524392550e-01
-1.944005919796647275e+00, 6.872104262915392781e+00, 9.165066946870237263e-01, 7.417178926038520137e-01
-2.073464070429161588e+00, 6.815595052507465113e+00, 9.171449860559868217e-01, 7.401979080578374726e-01
-2.201136380792466429e+00, 6.747267450524759624e+00, 9.168197269341327171e-01, 7.412947817227731884e-01
-2.325463537859361995e+00, 6.667100188926548654e+00, 9.148573633964822704e-01, 7.398449948243729368e-01
-2.444738123397069529e+00, 6.575501062421402310e+00, 9.151447993121510915e-01, 7.433505799035040607e-01
-2.557343165919407468e+00, 6.473304485934736618e+00, 9.145290302255528747e-01, 7.430243060497275787e-01
-2.661860840997225974e+00, 6.361700156861772371e+00, 9.169248003702566985e-01, 7.446700835975971211e-01
